UTM180920201,UTM180920202
560676.525341484,8760451.75512147
560676.760341231,8760451.92293985
560676.941715564,8760451.95407001
560677.105390523,8760451.95082027
560677.386634203,8760451.78564797
560677.67480712,8760451.78842612
560677.871219614,8760451.77558721
560678.287618616,8760451.8851428
560678.813012973,8760451.78766366
560678.969645726,8760452.01873406
560679.279810944,8760452.05610038
560679.643664254,8760452.00667168
560679.746144614,8760452.06750528
560680.044522905,8760452.03725513
560680.441126423,8760451.93354075
560680.798552931,8760451.83910388
560681.004103986,8760451.77083631
560681.298214692,8760451.65098519
560681.373895228,8760451.598778
560681.435591737,8760451.657637
560681.454383258,8760451.6250239
560681.768365177,8760451.45026341
560681.810743027,8760451.50818701
560681.824123873,8760451.63175252
560682.236832913,8760451.50646987
560682.565802465,8760451.46652723
560682.786893679,8760451.47723271
560682.847497792,8760451.60308485
560683.009039061,8760451.55503525
560683.240361232,8760451.44331859
560683.4034965,8760451.45121787
560683.454485827,8760451.42016387
560683.552196946,8760451.26845461
560683.641296522,8760451.20572301
560683.774418839,8760451.0780771
560683.907541181,8760450.95043121
560683.941885462,8760450.95209423
560684.005728409,8760451.01105728
560684.197835335,8760451.04270819
560684.440455674,8760450.83096987
560684.67017142,8760450.70800135
560684.852111196,8760450.63859106
560684.986274972,8760450.622739
560685.142482158,8760450.46268808
560685.490796396,8760450.33428827
560685.747825974,8760450.40260617
560685.993647237,8760450.25806911
560686.231949323,8760450.13551664
560686.537307699,8760450.09443167
560686.72838645,8760449.96959255
560686.975801728,8760449.88100451
560687.207124581,8760449.76928858
560687.382637963,8760449.65487014
560687.507714596,8760449.51566066
560687.617225764,8760449.38687176
560687.722983764,8760449.2467268
560687.828201934,8760449.11773003
560687.918934332,8760448.97685746
560687.996787621,8760448.83536123
560688.060155131,8760448.68198919
560688.130489178,8760448.5624775
560688.23462773,8760448.45577715
560688.328020786,8760448.39325376
560688.473457329,8760448.36677361
560688.644639226,8760448.38623754
560688.795962563,8760448.41591416
560688.926334686,8760448.52279653
560689.071205504,8760448.59685804
560689.324417406,8760448.87730408
560689.616292468,8760449.07022784
560689.796112176,8760448.91132093
560689.931368927,8760448.82847632
560690.078964952,8760448.75740361
560690.248566082,8760448.67622223
560690.384362764,8760448.58222948
560691.447717134,8760447.63920959
560691.902422551,8760447.04664185
560692.47526553,8760446.19161152
560692.890846752,8760445.42953436
560693.325102741,8760445.03711471
560693.34168278,8760445.22788133
560693.008944917,8760445.30116175
560693.060487693,8760445.21426326
560693.267133425,8760445.07900463
560693.361066883,8760445.00533343
560693.722645589,8760445.40277184
560693.966217487,8760445.61570597
560694.551205026,8760445.44289898
560694.73147393,8760445.58572148
560694.945073035,8760445.52902021
560695.390497073,8760445.48354646
560695.683570349,8760445.25190498
560696.04794007,8760445.28072625
560696.445073978,8760445.21056544
560696.887864534,8760444.99734966
560697.250101001,8760444.98137061
560697.467479893,8760444.84663247
560697.820590368,8760444.84138593
560697.998725725,8760444.93940824
560698.285820516,8760444.96448749
560698.596500592,8760445.0801038
560698.790228026,8760445.07831239
560698.950704189,8760445.00786451
560699.165870361,8760445.0965062
560699.335932861,8760445.27235805
560699.599942426,8760445.3298425
560699.860172266,8760445.46536429
560700.06561903,8760445.75467343
560700.246467216,8760445.75225844
560700.42570884,8760445.73859133
560700.615629777,8760445.90423088
560700.805024036,8760446.03632195
560701.040035264,8760446.15944818
560701.180559263,8760446.41208995
560701.250774492,8760446.69484929
560701.478252666,8760446.88465676
560701.625216057,8760447.13761048
560701.75286067,8760447.3896285
560702.022729128,8760447.59266365
560702.314629506,8760447.69619698
560702.427234855,8760447.99218397
560702.733067384,8760448.16343825
560702.829620635,8760448.30220705
560703.124180436,8760448.48408975
560703.379562776,8760448.67524921
560703.542104636,8760448.87308608
560703.865608587,8760449.16811434
560703.741043117,8760449.38556741
560703.842996101,8760449.41285447
560703.995885178,8760449.58787517
560703.863273635,8760449.79376415
560703.888478414,8760449.85085671
560704.041907421,8760450.01472923
560704.253832397,8760450.17026089
560704.399768722,8760450.2667245
560704.416886945,8760450.44634309
560704.524698923,8760450.6191804
560704.616418731,8760450.76888957
560704.758048425,8760450.90984198
560704.843841635,8760451.13748446
560704.780418137,8760451.46964245
560704.880116388,8760451.85439921
560705.072695271,8760452.09838863
560705.441288323,8760452.35090407
560706.685632102,8760452.73523567
560706.853545951,8760452.91098457
560707.047717188,8760453.21092315
560707.178545801,8760453.57483943
560707.384529464,8760453.85300159
560707.533097233,8760454.11720817
560707.684378701,8760454.28097717
560707.958024915,8760454.40597634
560708.142597663,8760454.50431203
560708.360420852,8760454.6713045
560708.527254117,8760454.86934998
560708.601233686,8760455.11876917
560708.632836708,8760455.31026386
560708.682165488,8760455.44674553
560708.742226805,8760455.5837471
560708.740025678,8760455.76242992
560708.69274786,8760455.93892912
560708.820417346,8760456.10155446
560709.022134508,8760456.29011553
560708.998454586,8760456.51245523
560709.052076283,8760456.64914487
560709.064914322,8760456.78385886
560709.139447354,8760456.9774332
560709.387362104,8760457.0117915
560709.92131605,8760457.00413474
560710.44401114,8760456.96240975
560710.480959496,8760457.2212095
560710.600555193,8760457.4616643
560710.641810233,8760457.67597532
560710.635855859,8760457.84330199
560710.562197331,8760458.29788168
560710.481046665,8760458.68505238
560710.450913248,8760458.95177679
560710.351011615,8760459.23747007
560710.202184468,8760459.82250043
560710.080168124,8760460.47587565
560710.082813525,8760460.59892156
560710.100402105,8760460.99087553
560710.148096554,8760461.20549849
560710.385735607,8760461.49636908
560710.511756594,8760461.78183253
560710.795025725,8760462.019042
560710.778283804,8760462.36463553
560710.844783986,8760462.50194916
560710.978338127,8760462.72073155
560711.091992389,8760463.08381636
560711.063479051,8760463.31709622
560711.038732408,8760463.51703553
560711.097131508,8760463.82157185
560711.118985082,8760464.30312721
560711.024914182,8760464.82376405
560711.213127826,8760465.29102994
560711.277952458,8760465.64057491
560711.300428618,8760465.84280191
560711.395871702,8760466.09326112
560711.303988587,8760466.47991183
560711.597421227,8760466.81818299
560711.825434075,8760466.99684417
560712.258429727,8760467.20778453
560712.463343452,8760467.46354719
560712.863061339,8760467.69522429
560713.136163962,8760467.83137278
560713.509071309,8760467.99470518
560713.948436396,8760468.42944158
560714.233281902,8760468.76729739
560714.532626463,8760469.07233269
560714.816461043,8760469.20900149
560715.155010064,8760469.41536722
560715.510190753,8760469.63371315
560715.853018563,8760469.88498375
560716.137337065,8760470.18929147
560716.515574596,8760470.4646265
560716.864399271,8760470.41448065
560716.909931584,8760470.67369657
560717.203389711,8760470.92257564
560717.439460838,8760471.06810531
560717.737793945,8760471.17195423
560717.994249533,8760471.34082032
560718.407370165,8760471.6066717
560718.669212875,8760471.70875288
560718.898304106,8760471.86511901
560719.161212927,8760471.98960064
560719.464378792,8760472.08250979
560719.922617307,8760472.21645558
560720.176968272,8760472.25112802
560720.409314263,8760472.29590868
560720.563832637,8760472.39279019
560720.81279614,8760472.4942478
560721.142217244,8760472.71134731
560721.601493188,8760472.95708746
560721.958889192,8760472.95205573
560722.101594637,8760473.07071376
560722.491756391,8760472.96670068
560722.760578132,8760473.05794656
560723.057318295,8760473.10584787
560723.634181151,8760473.14497377
560723.930892761,8760473.28226869
560724.180424557,8760473.28318541
560724.381113246,8760473.3152585
560724.612392826,8760473.33763959
560724.989149969,8760473.19945471
560725.27842742,8760473.09055407
560725.470501584,8760473.2116047
560725.576716537,8760473.32849495
560725.496216407,8760473.34694292
560725.675454587,8760473.33327943
560725.86059201,8760473.33107617
560726.297976603,8760473.22935251
560726.399372661,8760473.31248629
560726.671406627,8760473.42623737
560727.001978783,8760473.39755858
560727.196199224,8760473.51871349
560727.356075966,8760473.63820422
560727.591108203,8760473.67194205
560727.690386443,8760473.66557852
560728.104700055,8760473.55156317
560728.059069373,8760473.60522373
560728.274783295,8760473.63802556
560728.742117737,8760473.85063586
560728.943317613,8760473.96095492
560729.121446425,8760474.05898166
560729.302290816,8760474.05657087
560729.615705536,8760473.98236394
560729.917862139,8760473.87408848
560730.179192265,8760473.89792683
560730.321911352,8760473.9718891
560730.39112441,8760474.00876622
560730.673379042,8760474.04479303
560730.892305306,8760474.10009969
560731.154657815,8760474.2804287
560731.351593515,8760474.30114671
560731.728818798,8760474.37529918
560732.197276609,8760474.43152434
560732.473033431,8760474.64602629
560732.688206832,8760474.68997705
560732.910900179,8760474.71194357
560733.013901909,8760474.80633007
560733.090065373,8760474.92176464
560733.300317925,8760475.24483582
560733.547673736,8760475.33504377
560733.776280728,8760475.32377399
560733.96354979,8760475.36637265
560734.270992227,8760475.50419014
560734.817642076,8760476.03352854
560735.093427427,8760476.15863767
560735.486713846,8760476.34531322
560735.721161085,8760476.52429084
560735.914795874,8760476.79068537
560736.244257489,8760476.87369876
560736.399810605,8760477.08237598
560736.517238026,8760477.36742594
560736.62721898,8760477.45097665
560736.698008397,8760477.58849972
560736.717749148,8760477.93586141
560736.690851994,8760478.13569619
560736.650550445,8760478.30135826
